Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
8/12/2009	8	Dissolved	SRP	-4.95470873
8/14/2009	8	Dissolved	SRP	-5.894221174
8/17/2009	8	Dissolved	SRP	-8.048949928
8/19/2009	8	Dissolved	SRP	1.167339953
8/21/2009	8	Dissolved	SRP	1.003621521
8/24/2009	8	Dissolved	SRP	0.814428097
8/26/2009	8	Dissolved	SRP	1.479032539
8/28/2009	8	Dissolved	SRP	0.984803136
8/31/2009	8	Dissolved	SRP	2.1479761
9/2/2009	8	Dissolved	SRP	3.725969629
9/4/2009	8	Dissolved	SRP	1.917848279
9/7/2009	8	Dissolved	SRP	1.953506163
9/9/2009	8	Dissolved	SRP	-0.901600748
9/11/2009	8	Dissolved	SRP	0.553660387
9/14/2009	8	Dissolved	SRP	-0.901600748
9/16/2009	8	Dissolved	SRP	0.436536414
7/22/2009	9	Dissolved	SRP	-0.75070631
7/24/2009	9	Dissolved	SRP	NA
7/27/2009	9	Dissolved	SRP	-3.212735166
7/29/2009	9	Dissolved	SRP	0
7/31/2009	9	Dissolved	SRP	NA
8/3/2009	9	Dissolved	SRP	0.247620726
8/5/2009	9	Dissolved	SRP	-0.489243581
8/7/2009	9	Dissolved	SRP	0.323595506
8/10/2009	9	Dissolved	SRP	-3.512675324
8/12/2009	9	Dissolved	SRP	-4.128923942
8/14/2009	9	Dissolved	SRP	-5.257008074
8/17/2009	9	Dissolved	SRP	-7.733304833
8/19/2009	9	Dissolved	SRP	0.500288551
8/21/2009	9	Dissolved	SRP	0.669081014
8/24/2009	9	Dissolved	SRP	0.488656858
8/26/2009	9	Dissolved	SRP	1.150358641
8/28/2009	9	Dissolved	SRP	0.82066928
8/31/2009	9	Dissolved	SRP	3.293563354
9/2/2009	9	Dissolved	SRP	1.788465422
9/4/2009	9	Dissolved	SRP	0.885160744
9/7/2009	9	Dissolved	SRP	1.502697048
9/9/2009	9	Dissolved	SRP	-1.05186754
9/11/2009	9	Dissolved	SRP	0.41524529
9/14/2009	9	Dissolved	SRP	-1.05186754
9/16/2009	9	Dissolved	SRP	0.436536414
7/22/2009	10	Dissolved	SRP	2.502354366
7/24/2009	10	Dissolved	SRP	NA
7/27/2009	10	Dissolved	SRP	3.480463097
7/29/2009	10	Dissolved	SRP	12.00728718
7/31/2009	10	Dissolved	SRP	NA
8/3/2009	10	Dissolved	SRP	12.13341558
8/5/2009	10	Dissolved	SRP	13.69882026
8/7/2009	10	Dissolved	SRP	19.73932584
8/10/2009	10	Dissolved	SRP	7.527161408
8/12/2009	10	Dissolved	SRP	8.918475715
8/14/2009	10	Dissolved	SRP	2.867458949
8/17/2009	10	Dissolved	SRP	-3.3142735
8/19/2009	10	Dissolved	SRP	4.002308412
8/21/2009	10	Dissolved	SRP	3.178134817
8/24/2009	10	Dissolved	SRP	5.0494542
8/26/2009	10	Dissolved	SRP	15.11899928
8/28/2009	10	Dissolved	SRP	3.775078688
8/31/2009	10	Dissolved	SRP	13.03105501
9/2/2009	10	Dissolved	SRP	2.384620562
9/4/2009	10	Dissolved	SRP	0.590107163
9/7/2009	10	Dissolved	SRP	-0.30053941
9/9/2009	10	Dissolved	SRP	-1.202134331
9/11/2009	10	Dissolved	SRP	0.138415097
9/14/2009	10	Dissolved	SRP	-1.202134331
9/16/2009	10	Dissolved	SRP	1.164097105
7/22/2009	13	Dissolved	SRP	7.757298534
7/24/2009	13	Dissolved	SRP	NA
7/27/2009	13	Dissolved	SRP	3.748191027
7/29/2009	13	Dissolved	SRP	4.322623385
7/31/2009	13	Dissolved	SRP	NA
8/3/2009	13	Dissolved	SRP	16.83820938
8/5/2009	13	Dissolved	SRP	9.051006246
8/7/2009	13	Dissolved	SRP	14.23820225
8/10/2009	13	Dissolved	SRP	5.185377859
8/12/2009	13	Dissolved	SRP	-0.990941746
8/14/2009	13	Dissolved	SRP	-1.9116393
8/17/2009	13	Dissolved	SRP	-6.470724452
8/19/2009	13	Dissolved	SRP	2.334679907
8/21/2009	13	Dissolved	SRP	2.84359431
8/24/2009	13	Dissolved	SRP	4.723682962
8/26/2009	13	Dissolved	SRP	15.77634708
8/28/2009	13	Dissolved	SRP	12.96657462
8/31/2009	13	Dissolved	SRP	58.13855311
9/2/2009	13	Dissolved	SRP	49.03376031
9/4/2009	13	Dissolved	SRP	42.19266213
9/7/2009	13	Dissolved	SRP	36.06472916
9/9/2009	13	Dissolved	SRP	15.7780131
9/11/2009	13	Dissolved	SRP	14.67200025
9/14/2009	13	Dissolved	SRP	15.7780131
9/16/2009	13	Dissolved	SRP	13.24160457
7/22/2009	14	Dissolved	SRP	28.0263689
7/24/2009	14	Dissolved	SRP	NA
7/27/2009	14	Dissolved	SRP	14.99276411
7/29/2009	14	Dissolved	SRP	13.44816164
7/31/2009	14	Dissolved	SRP	NA
8/3/2009	14	Dissolved	SRP	29.71448713
8/5/2009	14	Dissolved	SRP	19.08049965
8/7/2009	14	Dissolved	SRP	25.24044944
8/10/2009	14	Dissolved	SRP	9.701674703
8/12/2009	14	Dissolved	SRP	1.651569577
8/14/2009	14	Dissolved	SRP	0
8/17/2009	14	Dissolved	SRP	-3.472096047
8/19/2009	14	Dissolved	SRP	4.836122664
8/21/2009	14	Dissolved	SRP	9.701674703
8/24/2009	14	Dissolved	SRP	9.610251542
8/26/2009	14	Dissolved	SRP	17.25537962
8/28/2009	14	Dissolved	SRP	12.47417306
8/31/2009	14	Dissolved	SRP	58.56814833
9/2/2009	14	Dissolved	SRP	43.81740283
9/4/2009	14	Dissolved	SRP	36.58664409
9/7/2009	14	Dissolved	SRP	30.05394097
9/9/2009	14	Dissolved	SRP	14.27534518
9/11/2009	14	Dissolved	SRP	12.18052851
9/14/2009	14	Dissolved	SRP	14.27534518
9/16/2009	14	Dissolved	SRP	9.167264703
7/22/2009	15	Dissolved	SRP	9.008475716
7/24/2009	15	Dissolved	SRP	NA
7/27/2009	15	Dissolved	SRP	NA
7/29/2009	15	Dissolved	SRP	8.405101027
7/31/2009	15	Dissolved	SRP	NA
8/3/2009	15	Dissolved	SRP	2.476207261
8/5/2009	15	Dissolved	SRP	5.137057599
8/7/2009	15	Dissolved	SRP	3.883146067
8/10/2009	15	Dissolved	SRP	0.167270254
8/12/2009	15	Dissolved	SRP	-2.972825238
8/14/2009	15	Dissolved	SRP	-3.026762224
8/17/2009	15	Dissolved	SRP	-6.944192095
8/19/2009	15	Dissolved	SRP	1.334102804
8/21/2009	15	Dissolved	SRP	1.505432282
8/24/2009	15	Dissolved	SRP	2.769055529
8/26/2009	15	Dissolved	SRP	7.395162694
8/28/2009	15	Dissolved	SRP	5.580551104
8/31/2009	15	Dissolved	SRP	42.24352997
9/2/2009	15	Dissolved	SRP	43.81740283
9/4/2009	15	Dissolved	SRP	37.47180483
9/7/2009	15	Dissolved	SRP	19.08425252
9/9/2009	15	Dissolved	SRP	4.808537325
9/11/2009	15	Dissolved	SRP	6.228679353
9/14/2009	15	Dissolved	SRP	4.808537325
9/16/2009	15	Dissolved	SRP	2.619218487
7/22/2009	16	Dissolved	SRP	3.753531548
7/24/2009	16	Dissolved	SRP	NA
7/27/2009	16	Dissolved	SRP	4.283646889
7/29/2009	16	Dissolved	SRP	4.802914872
7/31/2009	16	Dissolved	SRP	NA
8/3/2009	16	Dissolved	SRP	5.942897427
8/5/2009	16	Dissolved	SRP	4.892435808
8/7/2009	16	Dissolved	SRP	9.869662921
8/10/2009	16	Dissolved	SRP	2.174513296
8/12/2009	16	Dissolved	SRP	-1.156098704
8/14/2009	16	Dissolved	SRP	3.186065499
8/17/2009	16	Dissolved	SRP	-3.629918595
8/19/2009	16	Dissolved	SRP	4.836122664
8/21/2009	16	Dissolved	SRP	5.352648112
8/24/2009	16	Dissolved	SRP	11.89065021
8/26/2009	16	Dissolved	SRP	14.13297759
8/28/2009	16	Dissolved	SRP	7.221889663
8/31/2009	16	Dissolved	SRP	41.52753794
9/2/2009	16	Dissolved	SRP	34.72603694
9/4/2009	16	Dissolved	SRP	23.89934009
9/7/2009	16	Dissolved	SRP	8.264833767
9/9/2009	16	Dissolved	SRP	6.311205239
9/11/2009	16	Dissolved	SRP	7.612830321
9/14/2009	16	Dissolved	SRP	6.311205239
9/16/2009	16	Dissolved	SRP	16.0063352
