Date	Well	Sample	Fraction	Rate	P-value	R2
7-20-09	D3	14	BR	4.30	1.04E-07	0.157
7-20-09	D4	15	BR	-4.25	2.46E-38	0.637
7-20-09	D5	16	BR	0.07	5.62E-01	0.002
7-20-09	D6	99	BR	-0.33	6.24E-02	0.021
7-20-09	A1	3	PR	19.56	7.74E-171	0.991
7-20-09	A2	4	PR	29.30	1.74E-159	0.987
7-20-09	A3	5	PR	21.45	5.04E-162	0.988
7-20-09	A4	7	PR	42.29	1.03E-77	0.878
7-20-09	A5	8	PR	18.05	2.82E-97	0.929
7-20-09	A6	9	PR	101.97	4.13E-179	0.993
7-20-09	B1	10	PR	19.30	1.18E-112	0.954
7-20-09	B2	13	PR	43.29	6.55E-169	0.990
7-20-09	B3	14	PR	9.45	1.05E-45	0.704
7-20-09	B4	15	PR	44.09	9.53E-156	0.986
7-20-09	B5	16	PR	21.34	9.18E-164	0.989
7-20-09	B6	99	PR	1.29	3.32E-10	0.212
7-20-09	C1	3	BR	22.93	4.12E-203	0.996
7-20-09	C2	4	BR	34.02	2.71E-196	0.995
7-20-09	C3	5	BR	26.55	6.22E-175	0.992
7-20-09	C4	7	BR	14.44	8.89E-166	0.989
7-20-09	C5	8	BR	27.87	7.14E-187	0.994
7-20-09	C6	9	BR	34.66	5.51E-199	0.996
7-20-09	D1	10	BR	41.17	6.27E-239	0.999
7-20-09	D2	13	BR	20.13	4.01E-176	0.992
7-20-09	D3	14	BR	33.07	1.48E-53	0.762
7-20-09	D4	15	BR	51.64	3.15E-141	0.979
7-20-09	D5	16	BR	13.64	1.20E-156	0.986
7-20-09	D6	99	BR	7.78	1.41E-37	0.629
7-22-09	A1	3	PR	23.64	4.20E-190	0.995
7-22-09	A2	4	PR	52.96	5.64E-153	0.985
7-22-09	A3	5	PR	36.41	3.20E-161	0.988
7-22-09	A4	7	PR	112.78	1.03E-168	0.990
7-22-09	A5	8	PR	33.91	1.81E-153	0.985
7-22-09	A6	9	PR	49.91	1.44E-143	0.980
7-22-09	B1	10	PR	37.65	4.07E-183	0.993
7-22-09	B2	13	PR	86.31	2.46E-189	0.994
7-22-09	B3	14	PR	16.92	1.79E-134	0.975
7-22-09	B4	15	PR	16.43	9.35E-58	0.788
7-22-09	B5	16	PR	11.76	1.65E-108	0.948
7-22-09	B6	99	PR	-0.08	5.36E-01	0.002
7-22-09	C1	3	BR	14.37	1.36E-159	0.987
7-22-09	C2	4	BR	20.42	3.09E-163	0.989
7-22-09	C3	5	BR	34.07	1.59E-216	0.997
7-22-09	C4	7	BR	22.38	1.08E-118	0.961
7-22-09	C5	8	BR	19.57	4.03E-169	0.990
7-22-09	C6	9	BR	29.38	4.93E-196	0.995
7-22-09	D1	10	BR	35.21	2.28E-216	0.997
7-22-09	D2	13	BR	55.23	1.66E-194	0.995
7-22-09	D3	14	BR	16.37	2.47E-91	0.916
7-22-09	D4	15	BR	49.16	3.33E-228	0.998
7-22-09	D5	16	BR	19.86	3.09E-180	0.993
7-22-09	D6	99	BR	-20.29	6.04E-18	0.362
7-22-09	A1	3	PR	37.79	5.25E-182	0.993
7-22-09	A2	4	PR	34.84	5.87E-180	0.993
7-22-09	A3	5	PR	29.56	7.32E-181	0.993
7-22-09	A4	7	PR	70.60	3.05E-172	0.991
7-22-09	A5	8	PR	58.73	2.81E-158	0.987
7-22-09	A6	9	PR	53.17	3.11E-197	0.996
7-22-09	B1	10	PR	39.98	3.61E-230	0.998
7-22-09	B2	13	PR	58.04	5.63E-171	0.991
7-22-09	B3	14	PR	36.47	3.23E-205	0.996
7-22-09	B4	15	PR	35.06	2.33E-225	0.998
7-22-09	B5	16	PR	11.19	9.91E-114	0.955
7-22-09	B6	99	PR	-0.15	3.07E-01	0.006
7-22-09	C1	3	BR	18.26	3.00E-173	0.991
7-22-09	C2	4	BR	29.19	5.11E-211	0.997
7-22-09	C3	5	BR	18.12	6.00E-164	0.989
7-22-09	C4	7	BR	8.26	1.12E-106	0.945
7-22-09	C5	8	BR	20.48	1.26E-182	0.993
7-22-09	C6	9	BR	18.40	4.58E-149	0.983
7-22-09	D1	10	BR	27.78	6.08E-187	0.994
7-22-09	D2	13	BR	26.00	7.90E-180	0.993
7-22-09	D3	14	BR	23.51	1.96E-191	0.995
7-22-09	D4	15	BR	12.77	2.19E-135	0.975
7-22-09	D5	16	BR	13.23	1.10E-129	0.971
7-22-09	D6	99	BR	-0.33	2.04E-02	0.032
7-24-09	A1	3	PR	5.13	3.37E-42	0.674
7-24-09	A2	4	PR	20.67	1.63E-137	0.977
7-24-09	A3	5	PR	35.39	4.28E-176	0.992
7-24-09	A4	7	PR	81.31	2.32E-145	0.981
7-24-09	A5	8	PR	32.79	3.28E-140	0.978
7-24-09	A6	9	PR	35.72	1.20E-101	0.937
7-24-09	B1	10	PR	44.48	4.31E-157	0.986
7-24-09	B2	13	PR	73.64	2.69E-131	0.972
7-24-09	B3	14	PR	21.86	1.63E-192	0.995
7-24-09	B4	15	PR	50.83	2.22E-135	0.975
7-24-09	B5	16	PR	21.70	9.98E-128	0.969
7-24-09	B6	99	PR	3.01	9.71E-17	0.341
7-24-09	C1	3	BR	22.32	2.37E-177	0.992
7-24-09	C2	4	BR	14.61	9.73E-166	0.989
7-24-09	C3	5	BR	15.01	2.37E-158	0.987
7-24-09	C4	7	BR	30.76	3.58E-101	0.936
7-24-09	C5	8	BR	14.15	9.03E-154	0.985
7-24-09	C6	9	BR	23.07	8.12E-147	0.982
7-24-09	D1	10	BR	45.15	6.71E-234	0.998
7-24-09	D2	13	BR	28.51	9.97E-210	0.997
7-24-09	D3	14	BR	25.02	1.24E-191	0.995
7-24-09	D4	15	BR	32.85	1.25E-214	0.997
7-24-09	D5	16	BR	15.95	1.02E-183	0.994
7-24-09	D6	99	BR	1.01	6.84E-08	0.161
7-24-09	A1	3	PR	24.87	3.50E-189	0.994
7-24-09	A2	4	PR	30.44	6.57E-154	0.985
7-24-09	A3	5	PR	32.25	1.87E-196	0.995
7-24-09	A4	7	PR	82.63	8.42E-154	0.985
7-24-09	A5	8	PR	52.32	2.96E-221	0.998
7-24-09	A6	9	PR	79.00	6.15E-215	0.997
7-24-09	B1	10	PR	44.67	7.02E-174	0.992
7-24-09	B2	13	PR	80.97	1.83E-174	0.992
7-24-09	B3	14	PR	16.38	1.62E-158	0.987
7-24-09	B4	15	PR	33.06	4.54E-181	0.993
7-24-09	B5	16	PR	39.32	1.21E-152	0.985
7-24-09	B6	99	PR	-0.07	6.34E-01	0.001
7-24-09	C1	3	BR	11.90	1.30E-137	0.977
7-24-09	C2	4	BR	29.74	2.85E-203	0.996
7-24-09	C3	5	BR	32.87	1.50E-169	0.990
7-24-09	C4	7	BR	30.88	2.31E-188	0.994
7-24-09	C5	8	BR	14.53	4.58E-91	0.916
7-24-09	C6	9	BR	25.76	1.14E-171	0.991
7-24-09	D1	10	BR	39.83	1.09E-174	0.992
7-24-09	D2	13	BR	16.79	1.65E-65	0.829
7-24-09	D3	14	BR	23.52	4.08E-183	0.993
7-24-09	D4	15	BR	20.41	1.65E-179	0.993
7-24-09	D5	16	BR	30.76	7.44E-155	0.986
7-24-09	D6	99	BR	0.50	8.87E-03	0.041
7-27-09	A1	3	PR	7.51	1.47E-04	0.084
7-27-09	A2	4	PR	20.85	5.63E-141	0.979
7-27-09	A3	5	PR	36.40	9.77E-165	0.989
7-27-09	A4	7	PR	102.72	2.44E-128	0.971
7-27-09	A5	8	PR	35.48	1.51E-177	0.993
7-27-09	A6	9	PR	46.21	1.87E-160	0.988
7-27-09	B1	10	PR	8.06	3.98E-64	0.824
7-27-09	B2	13	PR	26.04	5.90E-136	0.976
7-27-09	B3	14	PR	24.67	2.14E-144	0.981
7-27-09	B4	15	PR	45.85	5.67E-203	0.996
7-27-09	B5	16	PR	58.48	3.86E-92	0.919
7-27-09	B6	99	PR	-0.06	6.31E-01	0.001
7-27-09	C1	3	BR	30.71	3.62E-79	0.884
7-27-09	C2	4	BR	16.39	6.61E-105	0.944
7-27-09	C3	5	BR	21.68	3.93E-168	0.990
7-27-09	C4	7	BR	17.69	3.18E-160	0.988
7-27-09	C5	8	BR	17.59	5.66E-149	0.983
7-27-09	C6	9	BR	15.62	5.93E-160	0.988
7-27-09	D1	10	BR	20.30	4.60E-85	0.902
7-27-09	D2	13	BR	33.73	3.85E-149	0.984
7-27-09	D3	14	BR	12.01	2.46E-123	0.966
7-27-09	D4	15	BR	18.02	3.10E-159	0.988
7-27-09	D5	16	BR	31.04	1.26E-214	0.997
7-27-09	D6	99	BR	6.64	1.65E-35	0.609
7-27-09	A1	3	PR	50.47	4.25E-238	0.999
7-27-09	A2	4	PR	35.71	7.35E-227	0.998
7-27-09	A3	5	PR	41.78	5.26E-167	0.990
7-27-09	A4	7	PR	101.60	9.69E-185	0.994
7-27-09	A5	8	PR	62.78	1.33E-192	0.995
7-27-09	A6	9	PR	70.42	1.29E-204	0.997
7-27-09	B1	10	PR	23.25	5.13E-176	0.992
7-27-09	B2	13	PR	31.09	2.09E-219	0.998
7-27-09	B3	14	PR	37.38	2.64E-211	0.997
7-27-09	B4	15	PR	-2.85	6.25E-11	0.229
7-27-09	B5	16	PR	16.85	3.76E-165	0.989
7-27-09	B6	99	PR	-1.54	2.70E-04	0.077
7-27-09	C1	3	BR	24.72	3.80E-139	0.978
7-27-09	C2	4	BR	12.20	2.44E-150	0.984
7-27-09	C3	5	BR	23.70	7.84E-187	0.994
7-27-09	C4	7	BR	20.27	2.41E-180	0.993
7-27-09	C5	8	BR	34.50	3.16E-196	0.996
7-27-09	C6	9	BR	12.08	2.26E-134	0.975
7-27-09	D1	10	BR	23.13	5.75E-131	0.973
7-27-09	D2	13	BR	15.39	6.64E-159	0.987
7-27-09	D3	14	BR	18.25	1.40E-175	0.992
7-27-09	D4	15	BR	5.98	1.03E-90	0.916
7-27-09	D5	16	BR	38.57	4.73E-133	0.974
7-27-09	D6	99	BR	0.40	1.02E-03	0.063
7-29-09	A1	3	PR	48.58	2.04E-50	0.740
7-29-09	A2	4	PR	30.30	2.45E-184	0.994
7-29-09	A3	5	PR	24.36	1.16E-56	0.781
7-29-09	A4	7	PR	57.19	1.31E-171	0.991
7-29-09	A5	8	PR	83.64	1.39E-154	0.986
7-29-09	A6	9	PR	43.95	2.05E-132	0.973
7-29-09	B1	10	PR	69.87	1.20E-184	0.994
7-29-09	B2	13	PR	67.79	3.47E-154	0.985
7-29-09	B3	14	PR	44.87	5.78E-160	0.988
7-29-09	B4	15	PR	39.43	1.98E-182	0.993
7-29-09	B5	16	PR	49.11	3.92E-164	0.989
7-29-09	B6	99	PR	0.66	3.77E-02	0.026
7-29-09	C1	3	BR	38.94	1.52E-51	0.748
7-29-09	C2	4	BR	30.28	1.53E-89	0.912
7-29-09	C3	5	BR	52.68	1.20E-154	0.986
7-29-09	C4	7	BR	41.48	1.39E-114	0.956
7-29-09	C5	8	BR	45.93	9.57E-166	0.989
7-29-09	C6	9	BR	26.83	1.84E-133	0.974
7-29-09	D1	10	BR	38.10	4.20E-54	0.765
7-29-09	D2	13	BR	18.01	2.83E-145	0.981
7-29-09	D3	14	BR	17.17	1.72E-111	0.952
7-29-09	D4	15	BR	55.85	1.47E-154	0.986
7-29-09	D5	16	BR	28.04	4.23E-40	0.654
7-29-09	D6	99	BR	2.20	4.64E-18	0.364
7-29-09	A1	3	PR	57.54	1.19E-143	0.980
7-29-09	A2	4	PR	51.92	1.06E-206	0.997
7-29-09	A3	5	PR	29.39	4.78E-88	0.908
7-29-09	A4	7	PR	91.96	3.45E-171	0.991
7-29-09	A5	8	PR	65.11	8.98E-164	0.989
7-29-09	A6	9	PR	46.92	1.72E-153	0.985
7-29-09	B1	10	PR	76.17	3.24E-226	0.998
7-29-09	B2	13	PR	96.54	1.41E-148	0.983
7-29-09	B3	14	PR	42.00	1.37E-148	0.983
7-29-09	B4	15	PR	67.39	1.67E-198	0.996
7-29-09	B5	16	PR	78.62	1.64E-155	0.986
7-29-09	B6	99	PR	-2.10	1.88E-26	0.496
7-29-09	C1	3	BR	72.44	6.80E-112	0.953
7-29-09	C2	4	BR	26.37	1.27E-176	0.992
7-29-09	C3	5	BR	29.40	2.64E-126	0.968
7-29-09	C4	7	BR	63.97	1.02E-152	0.985
7-29-09	C5	8	BR	33.88	2.26E-168	0.990
7-29-09	C6	9	BR	45.89	1.23E-216	0.997
7-29-09	D1	10	BR	48.94	3.19E-128	0.970
7-29-09	D2	13	BR	21.29	5.15E-163	0.989
7-29-09	D3	14	BR	51.98	4.14E-219	0.998
7-29-09	D4	15	BR	26.38	2.62E-128	0.970
7-29-09	D5	16	BR	43.68	1.38E-177	0.992
7-29-09	D6	99	BR	-1.57	4.71E-18	0.364
7-31-09	A1	3	PR	28.12	1.18E-225	0.998
7-31-09	A2	4	PR	28.50	2.19E-89	0.913
7-31-09	A3	5	PR	28.57	5.25E-131	0.973
7-31-09	A4	7	PR	89.58	1.80E-95	0.927
7-31-09	A5	8	PR	134.36	2.48E-148	0.983
7-31-09	A6	9	PR	84.73	1.48E-113	0.956
7-31-09	B1	10	PR	29.77	1.82E-172	0.991
7-31-09	B2	13	PR	25.43	4.98E-52	0.753
7-31-09	B3	14	PR	17.97	2.50E-98	0.932
7-31-09	B4	15	PR	30.63	1.89E-141	0.980
7-31-09	B5	16	PR	25.01	6.51E-174	0.992
7-31-09	B6	99	PR	5.13	3.69E-46	0.710
7-31-09	C1	3	BR	11.84	3.39E-155	0.986
7-31-09	C2	4	BR	10.87	1.46E-143	0.981
7-31-09	C3	5	BR	11.00	1.29E-145	0.982
7-31-09	C4	7	BR	21.02	2.07E-130	0.972
7-31-09	C5	8	BR	19.67	4.26E-173	0.992
7-31-09	C6	9	BR	13.87	4.56E-151	0.984
7-31-09	D1	10	BR	38.33	1.98E-219	0.998
7-31-09	D2	13	BR	9.66	1.39E-125	0.968
7-31-09	D3	14	BR	33.98	2.11E-212	0.997
7-31-09	D4	15	BR	8.48	5.69E-110	0.951
7-31-09	D5	16	BR	11.83	1.50E-97	0.931
7-31-09	D6	99	BR	0.17	1.85E-01	0.011
7-31-09	A1	3	PR	25.62	2.43E-185	0.994
7-31-09	A2	4	PR	40.67	9.93E-203	0.996
7-31-09	A3	5	PR	41.94	1.41E-195	0.996
7-31-09	A4	7	PR	74.25	1.20E-175	0.992
7-31-09	A5	8	PR	123.37	2.25E-169	0.991
7-31-09	A6	9	PR	56.51	1.74E-98	0.932
7-31-09	B1	10	PR	40.43	5.00E-207	0.997
7-31-09	B2	13	PR	58.78	1.84E-162	0.989
7-31-09	B3	14	PR	43.62	2.61E-184	0.994
7-31-09	B4	15	PR	6.11	4.29E-07	0.144
7-31-09	B5	16	PR	51.72	8.39E-186	0.994
7-31-09	B6	99	PR	0.64	8.30E-06	0.114
7-31-09	C1	3	BR	23.42	9.71E-162	0.988
7-31-09	C2	4	BR	20.64	4.77E-185	0.994
7-31-09	C3	5	BR	14.96	5.12E-138	0.978
7-31-09	C4	7	BR	41.36	2.75E-180	0.993
7-31-09	C5	8	BR	18.26	1.91E-135	0.976
7-31-09	C6	9	BR	28.40	5.06E-146	0.982
7-31-09	D1	10	BR	15.52	1.08E-90	0.916
7-31-09	D2	13	BR	29.86	1.07E-205	0.997
7-31-09	D3	14	BR	21.37	9.48E-171	0.991
7-31-09	D4	15	BR	33.66	1.13E-138	0.978
7-31-09	D5	16	BR	17.93	1.37E-179	0.993
7-31-09	D6	99	BR	1.05	4.22E-12	0.253
8-03-09	A1	3	PR	17.77	6.11E-41	0.662
8-03-09	A2	4	PR	24.00	8.84E-101	0.936
8-03-09	A3	5	PR	35.90	1.18E-140	0.979
8-03-09	A4	7	PR	80.10	1.38E-179	0.993
8-03-09	A5	8	PR	51.71	3.79E-122	0.964
8-03-09	A6	9	PR	80.00	3.36E-195	0.995
8-03-09	B1	10	PR	24.46	1.86E-107	0.946
8-03-09	B2	13	PR	50.13	3.60E-120	0.962
8-03-09	B3	14	PR	23.42	1.33E-125	0.968
8-03-09	B4	15	PR	46.79	7.09E-86	0.903
8-03-09	B5	16	PR	64.14	3.74E-151	0.984
8-03-09	B6	99	PR	8.11	4.78E-34	0.591
8-03-09	C1	3	BR	21.58	1.43E-87	0.907
8-03-09	C2	4	BR	21.49	1.98E-114	0.956
8-03-09	C3	5	BR	22.60	6.37E-163	0.989
8-03-09	C4	7	BR	35.98	1.40E-133	0.974
8-03-09	C5	8	BR	57.51	1.04E-156	0.986
8-03-09	C6	9	BR	35.47	3.57E-139	0.978
8-03-09	D1	10	BR	17.84	2.07E-52	0.754
8-03-09	D2	13	BR	5.35	3.87E-55	0.772
8-03-09	D3	14	BR	31.71	4.95E-155	0.986
8-03-09	D4	15	BR	24.22	3.71E-151	0.984
8-03-09	D5	16	BR	13.66	2.38E-167	0.990
8-03-09	D6	99	BR	-1.00	4.87E-09	0.187
8-03-09	A1	3	PR	28.45	1.40E-182	0.993
8-03-09	A2	4	PR	32.94	3.92E-98	0.931
8-03-09	A3	5	PR	35.22	3.22E-173	0.991
8-03-09	A4	7	PR	97.86	1.65E-178	0.993
8-03-09	A5	8	PR	44.76	2.34E-141	0.979
8-03-09	A6	9	PR	65.82	8.71E-159	0.987
8-03-09	B1	10	PR	22.93	1.25E-138	0.977
8-03-09	B2	13	PR	27.55	1.31E-92	0.919
8-03-09	B3	14	PR	22.83	4.42E-156	0.986
8-03-09	B4	15	PR	66.14	1.74E-88	0.909
8-03-09	B5	16	PR	74.18	2.97E-158	0.987
8-03-09	B6	99	PR	8.21	7.90E-27	0.501
8-03-09	C1	3	BR	22.46	1.29E-160	0.988
8-03-09	C2	4	BR	17.42	6.81E-152	0.984
8-03-09	C3	5	BR	21.56	1.05E-89	0.912
8-03-09	C4	7	BR	23.15	5.79E-130	0.971
8-03-09	C5	8	BR	27.10	1.43E-119	0.962
8-03-09	C6	9	BR	24.76	9.94E-144	0.980
8-03-09	D1	10	BR	26.19	2.33E-145	0.981
8-03-09	D2	13	BR	28.65	4.99E-138	0.977
8-03-09	D3	14	BR	35.12	9.49E-137	0.976
8-03-09	D4	15	BR	21.71	4.34E-99	0.933
8-03-09	D5	16	BR	23.11	1.96E-174	0.992
8-03-09	D6	99	BR	5.92	2.08E-30	0.548
8-05-09	A1	3	PR	15.95	4.37E-157	0.986
8-05-09	A2	4	PR	15.40	1.41E-156	0.986
8-05-09	A3	5	PR	41.06	4.74E-124	0.966
8-05-09	A4	7	PR	62.42	5.27E-172	0.991
8-05-09	A5	8	PR	67.57	1.44E-138	0.977
8-05-09	A6	9	PR	53.70	7.74E-109	0.948
8-05-09	B1	10	PR	39.65	3.59E-194	0.995
8-05-09	B2	13	PR	111.32	1.22E-178	0.993
8-05-09	B3	14	PR	43.33	2.10E-149	0.983
8-05-09	B4	15	PR	34.06	4.24E-131	0.972
8-05-09	B5	16	PR	44.79	1.87E-145	0.981
8-05-09	B6	99	PR	-0.92	6.56E-09	0.184
8-05-09	C1	3	BR	24.65	4.71E-105	0.943
8-05-09	C2	4	BR	28.96	2.58E-173	0.991
8-05-09	C3	5	BR	42.84	7.37E-232	0.998
8-05-09	C4	7	BR	51.48	1.66E-154	0.985
8-05-09	C5	8	BR	29.31	7.46E-171	0.991
8-05-09	C6	9	BR	53.53	4.80E-225	0.998
8-05-09	D1	10	BR	39.43	1.62E-179	0.993
8-05-09	D2	13	BR	14.91	2.16E-155	0.986
8-05-09	D3	14	BR	41.21	6.90E-214	0.997
8-05-09	D4	15	BR	15.27	1.65E-58	0.792
8-05-09	D5	16	BR	47.19	3.95E-168	0.990
8-05-09	D6	99	BR	2.11	2.30E-13	0.277
8-05-09	A1	3	PR	29.24	8.45E-191	0.995
8-05-09	A2	4	PR	35.97	1.68E-212	0.997
8-05-09	A3	5	PR	29.63	6.41E-125	0.967
8-05-09	A4	7	PR	46.59	1.38E-122	0.965
8-05-09	A5	8	PR	80.77	1.21E-188	0.994
8-05-09	A6	9	PR	57.70	4.05E-182	0.993
8-05-09	B1	10	PR	38.93	1.13E-176	0.992
8-05-09	B2	13	PR	49.03	7.72E-169	0.990
8-05-09	B3	14	PR	46.99	7.58E-234	0.998
8-05-09	B4	15	PR	29.29	9.98E-194	0.995
8-05-09	B5	16	PR	32.27	1.44E-134	0.975
8-05-09	B6	99	PR	-1.00	6.37E-12	0.248
8-05-09	C1	3	BR	17.96	4.16E-142	0.980
8-05-09	C2	4	BR	33.46	7.16E-203	0.996
8-05-09	C3	5	BR	27.19	3.65E-170	0.991
8-05-09	C4	7	BR	35.21	3.41E-196	0.995
8-05-09	C5	8	BR	21.57	8.15E-122	0.964
8-05-09	C6	9	BR	54.31	4.20E-156	0.986
8-05-09	D1	10	BR	29.93	3.43E-183	0.993
8-05-09	D2	13	BR	40.40	5.31E-215	0.997
8-05-09	D3	14	BR	37.27	1.24E-199	0.996
8-05-09	D4	15	BR	20.94	1.40E-122	0.965
8-05-09	D5	16	BR	58.92	1.92E-146	0.982
8-05-09	D6	99	BR	-2.25	1.81E-25	0.482
8-07-09	A1	3	PR	60.90	3.64E-139	0.978
8-07-09	A2	4	PR	13.45	1.61E-48	0.726
8-07-09	A3	5	PR	38.76	1.95E-178	0.993
8-07-09	A4	7	PR	57.84	5.39E-91	0.916
8-07-09	A5	8	PR	30.03	2.41E-64	0.823
8-07-09	A6	9	PR	60.16	7.79E-161	0.988
8-07-09	B1	10	PR	23.29	1.78E-89	0.912
8-07-09	B2	13	PR	20.37	3.45E-101	0.936
8-07-09	B3	14	PR	48.81	1.96E-133	0.974
8-07-09	B4	15	PR	41.86	6.81E-110	0.950
8-07-09	B5	16	PR	80.16	4.55E-155	0.986
8-07-09	B6	99	PR	3.82	8.46E-37	0.621
8-07-09	C1	3	BR	77.91	8.00E-157	0.986
8-07-09	C2	4	BR	35.39	8.02E-117	0.959
8-07-09	C3	5	BR	24.09	2.41E-49	0.732
8-07-09	C4	7	BR	51.75	1.57E-108	0.948
8-07-09	C5	8	BR	33.50	1.48E-177	0.992
8-07-09	C6	9	BR	22.85	1.99E-107	0.946
8-07-09	D1	10	BR	26.89	1.60E-156	0.986
8-07-09	D2	13	BR	29.98	1.90E-89	0.912
8-07-09	D3	14	BR	14.87	1.73E-25	0.482
8-07-09	D4	15	BR	11.69	1.37E-78	0.881
8-07-09	D5	16	BR	27.18	9.24E-178	0.992
8-07-09	D6	99	BR	1.39	1.11E-13	0.283
8-07-09	A1	3	PR	91.00	1.10E-142	0.980
8-07-09	A2	4	PR	13.11	2.52E-100	0.935
8-07-09	A3	5	PR	45.64	1.46E-178	0.993
8-07-09	A4	7	PR	111.38	7.54E-180	0.993
8-07-09	A5	8	PR	33.31	2.97E-124	0.966
8-07-09	A6	9	PR	48.92	1.06E-73	0.864
8-07-09	B1	10	PR	19.65	5.14E-152	0.984
8-07-09	B2	13	PR	19.62	7.08E-83	0.894
8-07-09	B3	14	PR	34.31	4.54E-112	0.953
8-07-09	B4	15	PR	52.00	2.32E-159	0.987
8-07-09	B5	16	PR	70.38	1.33E-174	0.992
8-07-09	B6	99	PR	-0.87	2.76E-06	0.124
8-07-09	C1	3	BR	20.43	8.60E-185	0.994
8-07-09	C2	4	BR	16.74	4.35E-150	0.984
8-07-09	C3	5	BR	35.76	2.26E-137	0.977
8-07-09	C4	7	BR	56.96	1.48E-86	0.904
8-07-09	C5	8	BR	38.64	2.25E-140	0.979
8-07-09	C6	9	BR	22.75	2.84E-149	0.983
8-07-09	D1	10	BR	16.82	8.33E-163	0.988
8-07-09	D2	13	BR	10.02	1.54E-111	0.952
8-07-09	D3	14	BR	68.87	6.88E-157	0.986
8-07-09	D4	15	BR	24.20	2.39E-144	0.981
8-07-09	D5	16	BR	65.04	4.16E-248	0.999
8-07-09	D6	99	BR	8.79	3.48E-26	0.492
8-10-09	A1	3	PR	21.90	1.75E-172	0.991
8-10-09	A2	4	PR	39.20	1.88E-149	0.984
8-10-09	A3	5	PR	37.20	2.36E-134	0.975
8-10-09	A4	7	PR	70.12	7.65E-164	0.989
8-10-09	A5	8	PR	103.24	1.96E-118	0.961
8-10-09	A6	9	PR	60.24	7.49E-211	0.997
8-10-09	B1	10	PR	48.30	2.02E-126	0.969
8-10-09	B2	13	PR	84.88	1.80E-127	0.970
8-10-09	B3	14	PR	27.56	2.61E-184	0.994
8-10-09	B4	15	PR	31.83	1.59E-147	0.983
8-10-09	B5	16	PR	46.18	1.86E-165	0.990
8-10-09	B6	99	PR	-0.65	5.44E-04	0.070
8-10-09	C1	3	BR	43.08	2.58E-138	0.978
8-10-09	C2	4	BR	2.36	1.44E-06	0.132
8-10-09	C3	5	BR	27.82	4.27E-99	0.934
8-10-09	C4	7	BR	29.43	4.01E-157	0.987
8-10-09	C5	8	BR	28.54	6.57E-89	0.912
8-10-09	C6	9	BR	19.33	7.34E-152	0.985
8-10-09	D1	10	BR	32.20	2.98E-147	0.983
8-10-09	D2	13	BR	35.55	3.60E-92	0.919
8-10-09	D3	14	BR	31.10	2.58E-211	0.997
8-10-09	D4	15	BR	27.05	6.62E-149	0.983
8-10-09	D5	16	BR	68.51	2.29E-165	0.990
8-10-09	D6	99	BR	2.91	5.46E-32	0.569
8-10-09	A1	3	PR	35.29	1.50E-211	0.997
8-10-09	A2	4	PR	41.07	1.17E-201	0.996
8-10-09	A3	5	PR	22.23	2.30E-153	0.985
8-10-09	A4	7	PR	82.91	2.01E-145	0.982
8-10-09	A5	8	PR	108.46	1.56E-115	0.958
8-10-09	A6	9	PR	23.21	1.83E-95	0.927
8-10-09	B1	10	PR	39.40	2.66E-212	0.997
8-10-09	B2	13	PR	61.32	3.99E-95	0.926
8-10-09	B3	14	PR	14.89	8.38E-134	0.975
8-10-09	B4	15	PR	21.64	9.96E-160	0.988
8-10-09	B5	16	PR	70.18	2.83E-170	0.991
8-10-09	B6	99	PR	1.49	2.07E-06	0.128
8-10-09	C1	3	BR	20.64	3.21E-178	0.993
8-10-09	C2	4	BR	30.59	3.79E-179	0.993
8-10-09	C3	5	BR	16.80	1.15E-163	0.989
8-10-09	C4	7	BR	31.55	1.48E-150	0.984
8-10-09	C5	8	BR	38.89	1.65E-182	0.994
8-10-09	C6	9	BR	49.04	6.23E-198	0.996
8-10-09	D1	10	BR	30.30	2.82E-131	0.973
8-10-09	D2	13	BR	10.09	2.33E-113	0.955
8-10-09	D3	14	BR	19.10	1.97E-166	0.990
8-10-09	D4	15	BR	23.73	8.23E-168	0.990
8-10-09	D5	16	BR	24.09	2.20E-199	0.996
8-10-09	D6	99	BR	1.15	3.29E-03	0.051
8-12-09	A1	3	PR	32.94	9.45E-212	0.997
8-12-09	A2	4	PR	19.17	3.24E-132	0.974
8-12-09	A3	5	PR	42.67	4.17E-133	0.974
8-12-09	A4	7	PR	63.88	8.67E-163	0.989
8-12-09	A5	8	PR	135.29	2.54E-128	0.971
8-12-09	A6	9	PR	32.66	2.38E-124	0.967
8-12-09	B1	10	PR	42.44	1.77E-168	0.990
8-12-09	B2	13	PR	70.56	4.27E-113	0.955
8-12-09	B3	14	PR	22.21	6.54E-192	0.995
8-12-09	B4	15	PR	10.83	3.84E-64	0.824
8-12-09	B5	16	PR	32.38	3.76E-116	0.959
8-12-09	B6	99	PR	0.88	1.11E-02	0.038
8-12-09	C1	3	BR	11.15	3.92E-134	0.975
8-12-09	C2	4	BR	18.23	1.04E-162	0.989
8-12-09	C3	5	BR	18.48	1.79E-158	0.987
8-12-09	C4	7	BR	13.56	2.33E-120	0.963
8-12-09	C5	8	BR	18.20	1.53E-161	0.988
8-12-09	C6	9	BR	27.20	1.64E-155	0.986
8-12-09	D1	10	BR	24.03	9.43E-146	0.982
8-12-09	D2	13	BR	36.66	2.60E-196	0.996
8-12-09	D3	14	BR	29.89	9.32E-210	0.997
