Date	Well	Sample	Fraction	Rate	P-value	R2
6-17-09	C6	9	BR	7.19	2.07E-105	0.943
6-17-09	D1	10	BR	11.87	1.54E-138	0.977
6-17-09	D2	13	BR	4.96	3.15E-74	0.866
6-17-09	D3	14	BR	5.46	3.18E-88	0.909
6-17-09	D4	15	BR	21.35	2.71E-165	0.989
6-17-09	D5	16	BR	10.13	7.27E-131	0.972
6-17-09	D6	99	BR	-0.71	9.15E-06	0.112
6-19-09	A1	3	PR	14.64	4.56E-166	0.989
6-19-09	A2	4	PR	10.28	1.73E-117	0.959
6-19-09	A3	5	PR	10.88	3.67E-142	0.980
6-19-09	A4	7	PR	10.81	6.58E-122	0.964
6-19-09	A5	8	PR	1.82	8.00E-04	0.066
6-19-09	A6	9	PR	163.97	4.97E-135	0.975
6-19-09	B1	10	PR	10.27	4.12E-128	0.970
6-19-09	B2	13	PR	20.68	3.34E-190	0.995
6-19-09	B3	14	PR	14.79	5.32E-168	0.990
6-19-09	B4	15	PR	11.70	3.77E-138	0.977
6-19-09	B5	16	PR	14.16	1.80E-165	0.989
6-19-09	B6	99	PR	-1.35	6.30E-16	0.326
6-19-09	C1	3	BR	2.72	4.24E-36	0.614
6-19-09	C2	4	BR	7.86	4.02E-124	0.966
6-19-09	C3	5	BR	10.91	1.90E-88	0.909
6-19-09	C4	7	BR	1.93	4.17E-16	0.329
6-19-09	C5	8	BR	6.39	8.54E-108	0.947
6-19-09	C6	9	BR	7.90	1.79E-118	0.961
6-19-09	D1	10	BR	10.30	4.08E-128	0.970
6-19-09	D2	13	BR	5.23	3.37E-94	0.923
6-19-09	D3	14	BR	9.09	2.29E-106	0.945
6-19-09	D4	15	BR	10.31	6.16E-114	0.955
6-19-09	D5	16	BR	14.09	4.76E-148	0.983
6-19-09	D6	99	BR	-1.28	2.72E-15	0.314
6-22-09	A1	3	PR	13.56	1.89E-143	0.981
6-22-09	A2	4	PR	8.60	1.52E-122	0.965
6-22-09	A3	5	PR	15.98	6.70E-161	0.988
6-22-09	A4	7	PR	12.27	3.85E-134	0.975
6-22-09	A5	8	PR	2.93	6.68E-55	0.772
6-22-09	A6	9	PR	5.41	1.24E-77	0.879
6-22-09	B1	10	PR	19.36	1.58E-172	0.991
6-22-09	B2	13	PR	6.57	1.19E-103	0.942
6-22-09	B3	14	PR	9.25	4.59E-117	0.960
6-22-09	B4	15	PR	10.52	1.11E-104	0.943
6-22-09	B5	16	PR	1.10	1.36E-05	0.109
