Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
7/8/09	4	Dissolved	NPOC	9.72
7/8/09	5	Dissolved	NPOC	4.31
7/8/09	7	Dissolved	NPOC	9.22
7/8/09	8	Dissolved	NPOC	10.98
7/8/09	9	Dissolved	NPOC	5.50
7/8/09	10	Dissolved	NPOC	7.39
7/8/09	13	Dissolved	NPOC	13.98
7/8/09	14	Dissolved	NPOC	12.93
7/8/09	15	Dissolved	NPOC	7.19
7/8/09	16	Dissolved	NPOC	9.86
7/10/09	3	Dissolved	NPOC	6.01
7/10/09	4	Dissolved	NPOC	7.07
7/10/09	5	Dissolved	NPOC	7.18
7/10/09	7	Dissolved	NPOC	13.15
7/10/09	8	Dissolved	NPOC	10.39
7/10/09	9	Dissolved	NPOC	10.62
7/10/09	10	Dissolved	NPOC	5.18
7/10/09	13	Dissolved	NPOC	15.55
7/10/09	14	Dissolved	NPOC	18.54
7/10/09	15	Dissolved	NPOC	12.66
7/10/09	16	Dissolved	NPOC	11.75
7/13/09	3	Dissolved	NPOC	6.25
7/13/09	4	Dissolved	NPOC	7.31
7/13/09	5	Dissolved	NPOC	6.59
7/13/09	7	Dissolved	NPOC	16.69
7/13/09	8	Dissolved	NPOC	7.56
7/13/09	9	Dissolved	NPOC	6.79
7/13/09	10	Dissolved	NPOC	5.60
7/13/09	13	Dissolved	NPOC	16.98
7/13/09	14	Dissolved	NPOC	19.79
7/13/09	15	Dissolved	NPOC	8.37
7/13/09	16	Dissolved	NPOC	11.99
7/15/09	3	Dissolved	NPOC	6.43
7/15/09	4	Dissolved	NPOC	7.60
7/15/09	5	Dissolved	NPOC	5.17
7/15/09	7	Dissolved	NPOC	11.95
7/15/09	8	Dissolved	NPOC	7.85
7/15/09	9	Dissolved	NPOC	6.74
7/15/09	10	Dissolved	NPOC	5.99
7/15/09	13	Dissolved	NPOC	16.66
7/15/09	14	Dissolved	NPOC	14.95
7/15/09	15	Dissolved	NPOC	12.80
7/15/09	16	Dissolved	NPOC	15.55
7/17/09	3	Dissolved	NPOC	6.96
7/17/09	4	Dissolved	NPOC	8.30
7/17/09	5	Dissolved	NPOC	4.82
7/17/09	7	Dissolved	NPOC	14.17
7/17/09	8	Dissolved	NPOC	7.96
7/17/09	9	Dissolved	NPOC	9.29
7/17/09	10	Dissolved	NPOC	6.12
7/17/09	13	Dissolved	NPOC	16.33
7/17/09	14	Dissolved	NPOC	16.75
7/17/09	15	Dissolved	NPOC	9.93
7/17/09	16	Dissolved	NPOC	15.44
7/20/09	3	Dissolved	NPOC	6.66
7/20/09	4	Dissolved	NPOC	7.72
7/20/09	5	Dissolved	NPOC	4.96
7/20/09	7	Dissolved	NPOC	12.29
7/20/09	8	Dissolved	NPOC	7.87
7/20/09	9	Dissolved	NPOC	6.92
7/20/09	10	Dissolved	NPOC	6.06
7/20/09	13	Dissolved	NPOC	18.34
7/20/09	14	Dissolved	NPOC	21.35
7/20/09	15	Dissolved	NPOC	12.67
7/20/09	16	Dissolved	NPOC	12.43
7/22/09	10	Dissolved	NPOC	8.13
7/22/09	13	Dissolved	NPOC	24.09
7/22/09	14	Dissolved	NPOC	18.78
7/22/09	15	Dissolved	NPOC	16.04
7/22/09	3	Dissolved	NPOC	18.20
7/22/09	4	Dissolved	NPOC	10.78
7/22/09	5	Dissolved	NPOC	7.07
7/22/09	7	Dissolved	NPOC	15.81
7/22/09	8	Dissolved	NPOC	10.36
7/22/09	9	Dissolved	NPOC	8.91
7/24/09	10	Dissolved	NPOC	10.32
7/24/09	13	Dissolved	NPOC	21.45
7/24/09	14	Dissolved	NPOC	25.07
7/24/09	15	Dissolved	NPOC	15.43
7/24/09	16	Dissolved	NPOC	17.85
7/24/09	3	Dissolved	NPOC	9.50
7/24/09	4	Dissolved	NPOC	15.03
7/24/09	5	Dissolved	NPOC	6.88
7/24/09	7	Dissolved	NPOC	14.80
7/24/09	8	Dissolved	NPOC	10.58
7/24/09	9	Dissolved	NPOC	8.72
7/27/09	10	Dissolved	NPOC	7.38
7/27/09	13	Dissolved	NPOC	15.56
7/27/09	14	Dissolved	NPOC	27.17
7/27/09	15	Dissolved	NPOC	17.58
7/27/09	16	Dissolved	NPOC	14.18
7/27/09	3	Dissolved	NPOC	9.31
7/27/09	4	Dissolved	NPOC	15.46
7/27/09	5	Dissolved	NPOC	6.91
7/27/09	7	Dissolved	NPOC	14.82
7/27/09	8	Dissolved	NPOC	9.81
7/27/09	9	Dissolved	NPOC	14.81
7/29/09	3	Dissolved	NPOC	9.23
7/29/09	4	Dissolved	NPOC	14.45
7/29/09	5	Dissolved	NPOC	6.55
7/29/09	7	Dissolved	NPOC	20.46
7/29/09	8	Dissolved	NPOC	15.41
7/29/09	9	Dissolved	NPOC	12.32
7/29/09	10	Dissolved	NPOC	10.65
7/29/09	13	Dissolved	NPOC	22.00
7/29/09	14	Dissolved	NPOC	24.93
7/29/09	15	Dissolved	NPOC	16.74
7/29/09	16	Dissolved	NPOC	14.96
7/31/09	3	Dissolved	NPOC	9.17
7/31/09	4	Dissolved	NPOC	13.17
